,url,headline,details,date
1,https://www.factcheck.org/2020/11/rand-paul-baselessly-says-only-anti-trump-protesters-arrested-at-maga-march/,Rand Paul Baselessly Says Only Anti-Trump Protesters Arrested at MAGA March,"Sen. Rand Paul claimed without evidence that only counterprotesters were arrested at the Million MAGA March and its tumultuous aftermath, and that they were solely responsible for the outbreaks of violence there.",19-11-2020
2,https://www.factcheck.org/2020/11/ballot-curing-in-pennsylvania/,Ballot ‘Curing’ in Pennsylvania,"Counties in Pennsylvania employed inconsistent policies when it came to “curing” ballots — notifying voters of an error in their mail-in ballot so they could fix it. But contrary to claims by the Trump campaign, that inconsistency didn’t fall strictly along party lines.",13-11-2020
3,https://www.factcheck.org/2020/11/trump-tweets-conspiracy-theory-about-deleted-votes/,Trump Tweets Conspiracy Theory About Deleted Votes,"In a tweet, President Donald Trump on Nov. 12 pushed the baseless theory that voting systems deleted millions of votes for him and switched thousands of votes cast for him to his Democratic rival, President-elect Joe Biden.",13-11-2020
4,https://www.factcheck.org/2020/11/how-the-supreme-court-could-rule-on-aca-case/,How the Supreme Court Could Rule on ACA Case,The Supreme Court heard oral arguments in the latest legal challenge to the constitutionality of the Affordable Care Act today. There are a range of possible outcomes in the case.,10-11-2020
5,https://www.factcheck.org/2020/11/thin-allegations-of-dead-people-voting/,Thin Allegations of ‘Dead People’ Voting,Several of President Donald Trump’s supporters have claimed or suggested — without providing evidence — that a substantial number of votes were fraudulently cast by “dead people” in Pennsylvania.,09-11-2020
6,https://www.factcheck.org/2020/11/trumps-bogus-claim-of-election-interference-and-more/,Trump’s Bogus Claim of ‘Election Interference’ and More,President Trump used his relatively brief remarks — just 16 minutes long — during a Nov. 5 public appearance at the White House press room to make false allegations about election interference and other issues.,06-11-2020
7,https://www.factcheck.org/2020/11/trumps-wild-baseless-claims-of-illegal-voting/,"Trump’s Wild, Baseless Claims of Illegal Voting","In remarks resembling an attack on democratic elections, rather than a presidential speech, President Donald Trump doubled down on his campaign pledge: “The only way we can lose, in my opinion, is massive fraud.”",06-11-2020
8,https://www.factcheck.org/2020/11/trump-tweets-flagged-by-twitter-for-misinformation/,Trump Tweets Flagged by Twitter for Misinformation,"In the two days after Election Day, Twitter has added warning labels to nine of President Trump’s election-related tweets, cautioning the messages “might be misleading.” They are misleading, and in some cases, false.",05-11-2020
9,https://www.factcheck.org/2020/11/wisconsin-recount-qa/,Wisconsin Recount Q&A,"On the same day that several news organizations called the presidential race in Wisconsin for Democratic nominee Joe Biden, the campaign of President Donald Trump announced it would request a recount. How would it work?",05-11-2020
0,https://www.factcheck.org/2020/11/trump-misleadingly-claims-that-ballot-count-was-called-off/,Trump Misleadingly Claims That Ballot Count Was ‘Called Off’,"President Trump misleadingly said early in the morning after Election Day that ballot counting in states where he was leading had been “called off,” baselessly suggesting there was something suspicious happening. ",04-11-2020
