,url,headline,date,time
4,https://factcheck.afp.com/flyer-advertising-professional-anarchists-fake,Flyer advertising for ‘professional anarchists’ is fake,03-06-2020,23:53
5,https://factcheck.afp.com/altered-image-hitler-used-criticize-trump,Altered image of Hitler used to criticize Trump,03-06-2020,20:42
6,https://factcheck.afp.com/doctored-image-shows-demonic-flames-engulfing-minneapolis-apartment-building,Doctored image shows ‘demonic’ flames engulfing Minneapolis apartment building,03-08-2020,19:28
7,https://factcheck.afp.com/simpsons-drawing-independent-artist-homage-floyds-death,Simpsons drawing is from independent artist in homage to Floyd's death,02-06-2020,22:04
8,https://factcheck.afp.com/far-right-group-poses-antifa-during-george-floyd-protests,Far-right group poses as Antifa during George Floyd protests,03-08-2020,19:32
9,https://factcheck.afp.com/dcblackout-hashtag-used-falsely-claim-communications-shut-down-during-protests,#DCBlackout hashtag used to falsely claim communications shut down during protests,03-08-2020,19:31
10,https://factcheck.afp.com/no-not-derek-chauvin-wearing-cap,"No, that is not Derek Chauvin wearing the cap",03-08-2020,19:22
11,https://factcheck.afp.com/risk-us-mail-voter-fraud-minuscule,Risk of US mail-in voter fraud is minuscule,17-09-2020,20:37
12,https://factcheck.afp.com/contrary-facebook-post-obamacare-never-exempted-muslims,"Contrary to Facebook post, Obamacare never exempted Muslims",27-05-2020,23:40
13,https://factcheck.afp.com/post-falsely-claims-obamas-gave-law-licenses-over-misconduct,Post falsely claims Obamas gave up law licenses over misconduct,27-05-2020,19:23
14,https://factcheck.afp.com/un-falsely-accused-demanding-ecuador-legalize-abortions-get-covid-19-aid,UN falsely accused of demanding Ecuador ‘legalize’ abortions to get COVID-19 aid,26-05-2020,23:11
0,https://factcheck.afp.com/post-falsely-claims-olive-garden-restaurant-chain-funding-trump-campaign,Post falsely claims Olive Garden restaurant chain funding Trump campaign,22-05-2020,22:32
1,https://factcheck.afp.com/post-falsely-claims-there-were-no-us-flu-deaths-during-covid-19-crisis,Post falsely claims there were no US flu deaths during COVID-19 crisis,21-05-2020,20:19
2,https://factcheck.afp.com/misleading-article-warns-against-face-masks-during-covid-19-pandemic,Misleading article warns against face masks during COVID-19 pandemic,02-09-2020,16:57
3,https://factcheck.afp.com/bill-gates-did-not-say-covid-19-vaccine-could-kill-nearly-million-people,Bill Gates did not say COVID-19 vaccine could kill nearly a million people,02-09-2020,17:03
4,https://factcheck.afp.com/false-headline-claims-actress-urged-women-kill-babies-home-abortions,False headline claims actress urged women to kill babies in home abortions,21-05-2020,20:28
5,https://factcheck.afp.com/holocaust-comparison-misleading-facebook-post-claims-bill-gates-seeks-digital-tattoos,"With Holocaust comparison, misleading Facebook post claims Bill Gates seeks 'digital tattoos'",02-09-2020,17:08
6,https://factcheck.afp.com/plandemic-video-peddles-falsehoods-about-covid-19,‘Plandemic’ video peddles falsehoods about COVID-19,02-09-2020,16:58
7,https://factcheck.afp.com/us-health-authorities-have-not-cut-reported-covid-19-death-toll,US health authorities have not cut reported COVID-19 death toll,12-05-2020,18:28
8,https://factcheck.afp.com/false-sightings-asian-giant-hornet-flourish-north-america,False sightings of Asian giant hornet flourish in North America,01-06-2020,19:36
9,https://factcheck.afp.com/misinformation-us-flu-shot-ingredients-resurfaces-during-pandemic,Misinformation on US flu shot ingredients resurfaces during pandemic,07-05-2020,23:40
10,https://factcheck.afp.com/flu-shot-will-not-make-you-test-positive-covid-19,Flu shot will not make you test positive for COVID-19,07-05-2020,20:48
11,https://factcheck.afp.com/doctored-photo-latest-attack-bill-gates-amid-covid-19-vaccine-push,Doctored photo is latest attack on Bill Gates amid COVID-19 vaccine push,13-05-2020,16:49
